Gene symbol,Aliases,Gene name,Function (in the pathway or marker),Source,Comments
Pax7,,,,Lanza,
Six1,,,,Lanza,
Myf5,,,,Lanza,
MyoD,,,,Lanza,
Myog,Myogenin,,,Lanza,
Mef2C,,,,Lanza,
Mef2D,,,,Lanza,
Pax3,,,,"Chal & Pourquie, 2017.",
Meox1,,,,"Chal & Pourquie, 2017.",
Meox2,,,,"Chal & Pourquie, 2017.",
Foxc1,,,,"Chal & Pourquie, 2017.",
Foxc2,,,,"Chal & Pourquie, 2017.",
Pax3,,,,"Chal & Pourquie, 2017.",
Pax7,,,,"Chal & Pourquie, 2017.",
Mrf4,,,,"Chal & Pourquie, 2017.",
Myh3,,,,"Chal & Pourquie, 2017.",
Myh7,,,,"Chal & Pourquie, 2017.",
Myf6,,,,"Chal & Pourquie, 2017.",
